,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Minkskandalen,130,18,36,3,43,6,12,148,All
2,Regeringen,5494,974,908,111,49,9,8,6468,All
3,sandhed,1244,343,283,20,62,17,14,1587,All
4,dansker,18087,2894,3594,363,50,8,10,20981,All
5,sten,26,7,9,1,26,7,9,33,All
6,sag,2100,264,341,44,48,6,8,2364,All
7,regering,20909,3711,4317,431,49,9,10,24620,All
8,oplysning,845,112,120,10,84,11,12,957,All
9,fremragende,315,48,15,5,63,10,3,363,All
10,tale,2598,561,290,87,30,6,3,3159,All
11,https://t.co/GNhGYggooJ,160,16,8,2,80,8,4,176,All
12,ftlive,3468,519,391,140,25,4,3,3987,All
13,Mange,1608,223,253,41,39,5,6,1831,All
14,tak,5098,622,611,101,50,6,6,5720,All
15,fuld,1555,231,401,38,41,6,11,1786,All
16,Verdens,105,22,13,2,52,11,6,127,All
17,formand,4323,401,461,58,75,7,8,4724,All
18,https://t.co/PVSjh5yMso,43,7,3,1,43,7,3,50,All
19,Mette,14841,2646,4495,249,60,11,18,17487,All
20,Frederiksen,11304,2018,3546,186,61,11,19,13322,All
21,gammeldags,198,16,11,3,66,5,4,214,All
22,regning,1618,280,362,30,54,9,12,1898,All
23,uenig,249,28,23,10,25,3,2,277,All
24,penge,8806,1527,1846,191,46,8,10,10333,All
25,dansk,17218,2973,3852,367,47,8,10,20191,All
26,økonomi,3457,525,594,68,51,8,9,3982,All
27,råd,1391,305,200,41,34,7,5,1696,All
28,velfærd,8649,1783,1927,176,49,10,11,10432,All
29,grøn,15399,2911,2404,422,36,7,6,18310,All
30,omstilling,4770,805,802,119,40,7,7,5575,All
31,jobskabelse,592,95,102,9,66,11,11,687,All
32,ansvarlig,2157,348,406,40,54,9,10,2505,All
33,https://t.co/1KFubdqcOo,64,7,6,1,64,7,6,71,All
34,rygmærkerne,14,4,2,1,14,4,2,18,All
35,gentænk,14,4,2,1,14,4,2,18,All
36,fælles,2646,525,527,73,36,7,7,3171,All
37,Danmark,51775,9074,10181,1098,47,8,9,60849,All
38,frier,1882,382,189,51,37,7,4,2264,All
39,stærk,4367,813,622,122,36,7,5,5180,All
40,land,9330,1503,1702,210,44,7,8,10833,All
41,https://t.co/IBJehc6sTS,14,4,2,1,14,4,2,18,All
42,tænknyt,43,10,5,4,11,2,1,53,All
43,.@SorenPape,377,66,40,16,24,4,2,443,All
44,åbningsdebat,574,86,38,23,25,4,2,660,All
45,https://t.co/XwA4Jlfpn5,18,2,0,1,18,2,0,20,All
46,https://t.co/E38BsV2lAy,17,3,1,1,17,3,1,20,All
47,https://t.co/eHdwjeTSEA,11,2,1,1,11,2,1,13,All
48,https://t.co/UmXJTgbtnp,16,2,1,1,16,2,1,18,All
49,https://t.co/3G9D8Vhru2,18,1,4,1,18,1,4,19,All
50,mangle,332,39,30,6,55,6,5,371,All
51,grønt,1525,306,202,58,26,5,3,1831,All
52,branche,364,84,95,14,26,6,7,448,All
53,luftfart,46,9,14,2,23,4,7,55,All
54,klimabidrag,46,9,14,2,23,4,7,55,All
55,flybillet,190,32,110,6,32,5,18,222,All
56,selskab,394,83,40,9,44,9,4,477,All
57,fremtid,3898,760,717,126,31,6,6,4658,All
58,https://t.co/hBYrMUCm9,9,5,8,1,9,5,8,14,All
59,dkgreen,11548,2286,1770,375,31,6,5,13834,All
60,https://t.co/iOunGdegUX,9,5,8,1,9,5,8,14,All
61,virksomhed,5165,796,777,132,39,6,6,5961,All
62,fravælge,21,3,1,1,21,3,1,24,All
63,senior,53,9,17,4,13,2,4,62,All
64,jobsøgning,21,3,1,1,21,3,1,24,All
65,baggrund,1262,219,438,30,42,7,15,1481,All
66,dåbsattest,21,3,1,1,21,3,1,24,All
67,desperat,21,3,1,1,21,3,1,24,All
68,chance,565,111,81,14,40,8,6,676,All
69,person,946,156,357,21,45,7,17,1102,All
