,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Minkskandalen,75,12,16,2,38,6,8,87,Danske Folkeparti
2,Regeringen,484,102,119,20,24,5,6,586,Danske Folkeparti
3,sandhed,47,13,13,2,24,6,6,60,Danske Folkeparti
4,dansker,1121,248,300,39,29,6,8,1369,Danske Folkeparti
5,sten,26,7,9,1,26,7,9,33,Danske Folkeparti
6,sag,615,118,189,19,32,6,10,733,Danske Folkeparti
7,regering,2362,560,784,84,28,7,9,2922,Danske Folkeparti
8,oplysning,60,16,13,2,30,8,6,76,Danske Folkeparti
9,virksomhed,84,19,8,5,17,4,2,103,Danske Folkeparti
10,fravælge,21,3,1,1,21,3,1,24,Danske Folkeparti
11,senior,53,9,17,4,13,2,4,62,Danske Folkeparti
12,jobsøgning,21,3,1,1,21,3,1,24,Danske Folkeparti
13,baggrund,193,50,88,9,21,6,10,243,Danske Folkeparti
14,dåbsattest,21,3,1,1,21,3,1,24,Danske Folkeparti
15,desperat,21,3,1,1,21,3,1,24,Danske Folkeparti
16,chance,61,17,11,3,20,6,4,78,Danske Folkeparti
17,person,303,48,232,6,50,8,39,351,Danske Folkeparti
18,ftlive,161,50,31,17,9,3,2,211,Danske Folkeparti
19,nødt,51,5,18,3,17,2,6,56,Danske Folkeparti
20,spørgsmål,448,103,153,19,24,5,8,551,Danske Folkeparti
21,minimumsnormeringer,64,16,17,5,13,3,3,80,Danske Folkeparti
22,ældreområde,95,27,25,7,14,4,4,122,Danske Folkeparti
23,børneområde,19,5,5,2,10,2,2,24,Danske Folkeparti
24,barn,632,136,188,20,32,7,9,768,Danske Folkeparti
25,bedsteforældre,22,7,2,3,7,2,1,29,Danske Folkeparti
26,stikke,6,1,1,1,6,1,1,7,Danske Folkeparti
27,sundhedsvæsen,53,18,14,3,18,6,5,71,Danske Folkeparti
28,brugerbetaling,20,2,2,2,10,1,1,22,Danske Folkeparti
29,finanslov,158,48,59,7,23,7,8,206,Danske Folkeparti
30,nuværende,10,1,1,1,10,1,1,11,Danske Folkeparti
31,skråplan,10,1,1,1,10,1,1,11,Danske Folkeparti
32,Sygeplejersker-konflikten,4,1,0,1,4,1,0,5,Danske Folkeparti
33,advarsel,63,8,15,2,32,4,8,71,Danske Folkeparti
34,indgreb,4,1,0,1,4,1,0,5,Danske Folkeparti
35,frustration,19,4,2,2,10,2,1,23,Danske Folkeparti
36,sygehus,120,25,59,6,20,4,10,145,Danske Folkeparti
37,venteliste,4,1,0,1,4,1,0,5,Danske Folkeparti
38,Mere,64,21,15,4,16,5,4,85,Danske Folkeparti
39,udskyde,4,1,0,1,4,1,0,5,Danske Folkeparti
40,operation,4,1,0,1,4,1,0,5,Danske Folkeparti
41,søde,3,1,0,1,3,1,0,4,Danske Folkeparti
42,tale,580,156,49,10,58,16,5,736,Danske Folkeparti
43,handling,49,18,7,4,12,4,2,67,Danske Folkeparti
44,udlændingepolitik,381,92,149,16,24,6,9,473,Danske Folkeparti
45,svag,20,7,3,2,10,4,2,27,Danske Folkeparti
46,hjælp,143,27,23,8,18,3,3,170,Danske Folkeparti
47,Kærshovedgård,274,54,98,8,34,7,12,328,Danske Folkeparti
48,Midtjylland,9,1,0,1,9,1,0,10,Danske Folkeparti
49,problem,301,63,72,13,23,5,6,364,Danske Folkeparti
50,måned,117,26,43,5,23,5,9,143,Danske Folkeparti
51,uhørt,9,1,0,1,9,1,0,10,Danske Folkeparti
52,.@Kristianthdahl:”Regeringen,26,6,7,1,26,6,7,32,Danske Folkeparti
53,Afghanistan,41,9,9,2,20,4,4,50,Danske Folkeparti
54,fåtal,26,6,7,1,26,6,7,32,Danske Folkeparti
55,hente,58,9,16,2,29,4,8,67,Danske Folkeparti
56,omegn,26,6,7,1,26,6,7,32,Danske Folkeparti
57,Danmark,5938,1304,1716,144,41,9,12,7242,Danske Folkeparti
58,del,277,63,108,10,28,6,11,340,Danske Folkeparti
59,ting,53,9,12,2,26,4,6,62,Danske Folkeparti
60,virkelig,5,3,1,2,2,2,0,8,Danske Folkeparti
61,verden,193,37,64,7,28,5,9,230,Danske Folkeparti
62,Tag,2,1,0,1,2,1,0,3,Danske Folkeparti
63,eksemplet,2,1,0,1,2,1,0,3,Danske Folkeparti
64,fremmedkrigere,79,13,18,2,40,6,9,92,Danske Folkeparti
65,Dansk,2859,591,933,86,33,7,11,3450,Danske Folkeparti
66,Folkepartis,423,96,99,17,25,6,6,519,Danske Folkeparti
67,formand,203,38,46,10,20,4,5,241,Danske Folkeparti
68,Kristian,142,23,42,7,20,3,6,165,Danske Folkeparti
69,Thulesen,90,12,33,4,22,3,8,102,Danske Folkeparti
70,Dahl,47,7,16,3,16,2,5,54,Danske Folkeparti
71,statsminister,916,159,288,25,37,6,12,1075,Danske Folkeparti
72,Mette,1439,304,466,38,38,8,12,1743,Danske Folkeparti
73,Frederiksens,74,19,24,4,18,5,6,93,Danske Folkeparti
74,åbningstale,13,2,3,1,13,2,3,15,Danske Folkeparti
75,politik,292,60,108,12,24,5,9,352,Danske Folkeparti
76,virkelighed,41,10,12,3,14,3,4,51,Danske Folkeparti
77,DitOverblik,25,5,4,2,12,2,2,30,Danske Folkeparti
78,Folkeparti,2318,471,807,63,37,7,13,2789,Danske Folkeparti
