,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,fremragende,151,18,7,2,76,9,4,88,Liberal Alliance
2,tale,279,35,31,11,25,3,3,31,Liberal Alliance
3,ftlive,999,122,100,39,26,3,3,31,Liberal Alliance
4,mange,192,20,21,11,17,2,2,21,Liberal Alliance
5,fuld,126,20,20,5,25,4,4,33,Liberal Alliance
6,mindre,186,20,20,4,46,5,5,56,Liberal Alliance
7,politik,913,124,90,28,33,4,3,40,Liberal Alliance
8,formynderi,25,1,0,1,25,1,0,26,Liberal Alliance
9,bureaukrati,385,58,66,11,35,5,6,46,Liberal Alliance
10,meningsløs,238,8,6,3,79,3,2,84,Liberal Alliance
11,lovgivning,49,1,4,3,16,0,1,18,Liberal Alliance
12,mere,236,48,54,9,26,5,6,38,Liberal Alliance
13,frihed,1688,256,251,46,37,6,5,48,Liberal Alliance
14,ansvar,745,84,73,16,47,5,5,56,Liberal Alliance
15,danmark,3849,658,795,109,35,6,7,49,Liberal Alliance
16,fri,389,62,28,15,26,4,2,32,Liberal Alliance
17,krone,870,132,207,19,46,7,11,64,Liberal Alliance
18,måned,475,76,58,13,37,6,4,47,Liberal Alliance
19,skattefri,129,9,9,2,64,4,4,74,Liberal Alliance
20,topskat,753,67,79,4,188,17,20,225,Liberal Alliance
21,stolt,40,1,4,1,40,1,4,45,Liberal Alliance
22,liberal,3379,498,489,96,35,5,5,45,Liberal Alliance
23,moderskib,40,1,4,1,40,1,4,45,Liberal Alliance
24,peter,87,9,8,2,44,4,4,52,Liberal Alliance
25,pressechef,60,5,8,2,30,2,4,36,Liberal Alliance
26,oktober,142,5,17,2,71,2,8,82,Liberal Alliance
27,flere,212,42,57,9,24,5,6,35,Liberal Alliance
28,hånd,134,26,25,7,19,4,4,26,Liberal Alliance
29,opsving,17,3,4,1,17,3,4,24,Liberal Alliance
30,ansættelsesstop,17,3,4,1,17,3,4,24,Liberal Alliance
31,offentlig,1409,168,180,33,43,5,5,53,Liberal Alliance
32,udspil,428,69,57,14,31,5,4,40,Liberal Alliance
33,forbindelse,109,26,35,6,18,4,6,28,Liberal Alliance
34,sommergruppemøde,69,19,5,4,17,5,1,23,Liberal Alliance
35,fas,21,1,0,1,21,1,0,22,Liberal Alliance
36,oplægge,21,1,0,1,21,1,0,22,Liberal Alliance
37,corona,77,5,2,2,38,2,1,42,Liberal Alliance
38,almindelig,112,13,16,6,19,2,3,24,Liberal Alliance
39,restriktion,514,28,61,4,128,7,15,151,Liberal Alliance
40,hverdag,108,12,13,5,22,2,3,27,Liberal Alliance
41,brug,568,65,62,18,32,4,3,39,Liberal Alliance
42,messi,64,0,1,1,64,0,1,65,Liberal Alliance
43,ambition,120,14,12,4,30,4,3,36,Liberal Alliance
44,melde,36,3,4,1,36,3,4,43,Liberal Alliance
