,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Verdens,43,7,3,1,43,7,3,50,Konservative Folkeparti
2,formand,172,17,8,4,43,4,2,189,Konservative Folkeparti
3,.@SorenPape,377,66,40,16,24,4,2,443,Konservative Folkeparti
4,åbningsdebat,113,15,10,8,14,2,1,128,Konservative Folkeparti
5,ftlive,236,46,35,25,9,2,1,282,Konservative Folkeparti
6,mangle,15,2,1,1,15,2,1,17,Konservative Folkeparti
7,virksomhed,567,66,95,33,17,2,3,633,Konservative Folkeparti
8,skatte,586,94,74,25,23,4,3,680,Konservative Folkeparti
9,arbejde,558,89,97,26,21,3,4,647,Konservative Folkeparti
10,let,22,5,1,1,22,5,1,27,Konservative Folkeparti
11,kvalificere,67,10,5,2,34,5,2,77,Konservative Folkeparti
12,milliard,210,44,52,17,12,3,3,254,Konservative Folkeparti
13,krone,460,74,91,21,22,4,4,534,Konservative Folkeparti
14,mangel,45,5,4,1,45,5,4,50,Konservative Folkeparti
15,adgang,86,18,10,4,22,4,2,104,Konservative Folkeparti
16,ældre,186,27,16,4,46,7,4,213,Konservative Folkeparti
17,ældreudspil,45,7,5,1,45,7,5,52,Konservative Folkeparti
18,alderdom,55,8,5,2,28,4,2,63,Konservative Folkeparti
19,omsorg,120,23,22,5,24,5,4,143,Konservative Folkeparti
20,værdighed,45,7,5,1,45,7,5,52,Konservative Folkeparti
21,selvbestemmelse,45,7,5,1,45,7,5,52,Konservative Folkeparti
22,konkret,137,21,26,6,23,4,4,158,Konservative Folkeparti
23,forslag,496,77,75,23,22,3,3,573,Konservative Folkeparti
24,rette,48,11,7,3,16,4,2,59,Konservative Folkeparti
25,Andrea,5,1,3,1,5,1,3,6,Konservative Folkeparti
26,fodfejl,5,1,3,1,5,1,3,6,Konservative Folkeparti
27,tekst,5,1,3,1,5,1,3,6,Konservative Folkeparti
28,holdning,113,24,24,3,38,8,8,137,Konservative Folkeparti
29,øremærke,5,1,3,1,5,1,3,6,Konservative Folkeparti
30,barsel,106,14,13,5,21,3,3,120,Konservative Folkeparti
31,landsråd,470,75,45,21,22,4,2,545,Konservative Folkeparti
32,Facebook,63,7,4,2,32,4,2,70,Konservative Folkeparti
33,landsrådstale,86,12,3,2,43,6,2,98,Konservative Folkeparti
34,live,94,22,9,5,19,4,2,116,Konservative Folkeparti
35,Huskeseddel,39,2,13,1,39,2,13,41,Konservative Folkeparti
36,regering,1087,119,131,23,47,5,6,1206,Konservative Folkeparti
37,bud,42,2,13,2,21,1,6,44,Konservative Folkeparti
38,dkøko,197,25,39,9,22,3,4,222,Konservative Folkeparti
39,Manglen,45,4,3,1,45,4,3,49,Konservative Folkeparti
40,finanslovsudspil,63,7,8,2,32,4,4,70,Konservative Folkeparti
41,finanslov,72,11,6,7,10,2,1,83,Konservative Folkeparti
42,skive,45,4,3,1,45,4,3,49,Konservative Folkeparti
43,Løsningen,161,18,27,3,54,6,9,179,Konservative Folkeparti
44,reform,187,14,25,3,62,5,8,201,Konservative Folkeparti
45,Danmark,3676,438,516,106,35,4,5,4114,Konservative Folkeparti
46,dansk,1000,129,151,35,29,4,4,1129,Konservative Folkeparti
47,politi,105,18,15,6,18,3,2,123,Konservative Folkeparti
48,Tid,31,3,4,1,31,3,4,34,Konservative Folkeparti
49,brug,613,73,76,19,32,4,4,686,Konservative Folkeparti
50,Borgerlige,90,8,12,2,45,4,6,98,Konservative Folkeparti
51,parti,1170,145,129,23,51,6,6,1315,Konservative Folkeparti
52,særlig,160,12,29,2,80,6,14,172,Konservative Folkeparti
53,ansvar,418,41,37,11,38,4,3,459,Konservative Folkeparti
54,økonomi,745,52,59,11,68,5,5,797,Konservative Folkeparti
55,80’erne,71,5,11,1,71,5,11,76,Konservative Folkeparti
56,00’erne,71,5,11,1,71,5,11,76,Konservative Folkeparti
57,velfærdssamfund,71,5,11,1,71,5,11,76,Konservative Folkeparti
58,behov,327,29,64,5,65,6,13,356,Konservative Folkeparti
59,fmdk,297,51,28,30,10,2,1,348,Konservative Folkeparti
60,Venskaber,40,7,0,2,20,4,0,47,Konservative Folkeparti
61,politik,262,36,25,14,19,3,2,298,Konservative Folkeparti
62,Samtale,23,3,0,1,23,3,0,26,Konservative Folkeparti
63,hyggelig,23,3,0,1,23,3,0,26,Konservative Folkeparti
64,Udlændingedebat,19,4,3,4,5,1,1,23,Konservative Folkeparti
65,Pia,84,9,12,5,17,2,2,93,Konservative Folkeparti
66,Kjærsgaard,20,4,3,4,5,1,1,24,Konservative Folkeparti
67,areal,4,1,1,1,4,1,1,5,Konservative Folkeparti
68,befolkning,69,5,16,3,23,2,5,74,Konservative Folkeparti
69,tilstrømning,73,9,21,2,36,4,10,82,Konservative Folkeparti
70,flygtning,47,13,16,6,8,2,3,60,Konservative Folkeparti
71,udfordring,86,12,18,4,22,3,4,98,Konservative Folkeparti
72,syrer,5,1,1,1,5,1,1,6,Konservative Folkeparti
73,sen,34,4,3,2,17,2,2,38,Konservative Folkeparti
74,enig,196,13,19,8,24,2,2,209,Konservative Folkeparti
75,Spm.,6,1,0,1,6,1,0,7,Konservative Folkeparti
76,tal,6,1,0,2,3,0,0,7,Konservative Folkeparti
77,asylansøger,18,5,0,3,6,2,0,23,Konservative Folkeparti
78,asylpolitik,6,1,0,1,6,1,0,7,Konservative Folkeparti
79,populær,6,1,0,1,6,1,0,7,Konservative Folkeparti
80,udtryk,70,10,6,2,35,5,3,80,Konservative Folkeparti
81,watch,6,1,0,1,6,1,0,7,Konservative Folkeparti
