,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,rygmærkerne,14,4,2,1,14,4,2,18,Radikale
2,gentænk,14,4,2,1,14,4,2,18,Radikale
3,fælles,291,63,48,15,19,4,3,354,Radikale
4,Danmark,6743,1278,617,183,37,7,3,8021,Radikale
5,grøn,3859,776,399,147,26,5,3,4635,Radikale
6,frier,1625,352,160,45,36,8,4,1977,Radikale
7,stærk,2411,481,251,66,37,7,4,2892,Radikale
8,tænknyt,43,10,5,4,11,2,1,53,Radikale
9,grønt,833,155,107,36,23,4,3,988,Radikale
10,branche,57,13,21,3,19,4,7,70,Radikale
11,luftfart,46,9,14,2,23,4,7,55,Radikale
12,klimabidrag,46,9,14,2,23,4,7,55,Radikale
13,flybillet,120,22,29,4,30,6,7,142,Radikale
14,penge,162,33,20,7,23,5,3,195,Radikale
15,selskab,9,5,8,1,9,5,8,14,Radikale
16,fremtid,921,157,92,36,26,4,3,1078,Radikale
17,dkgreen,3195,636,325,143,22,4,2,3831,Radikale
18,teknologi,52,8,9,4,13,2,2,60,Radikale
19,Flyvning,13,2,0,1,13,2,0,15,Radikale
20,Radikale,1124,200,170,38,30,5,4,1324,Radikale
21,luftfartsfond,37,4,6,1,37,4,6,41,Radikale
22,milliardinvesteringer,37,4,6,1,37,4,6,41,Radikale
23,brændstof,72,11,7,2,36,6,4,83,Radikale
24,udvikling,37,4,6,1,37,4,6,41,Radikale
25,Power-to-X.,37,4,6,1,37,4,6,41,Radikale
26,europæisk,356,62,42,11,32,6,4,418,Radikale
27,engagement,22,3,3,1,22,3,3,25,Radikale
28,sikkerhedspolitik,22,3,3,1,22,3,3,25,Radikale
29,migration,22,3,3,1,22,3,3,25,Radikale
30,flygtning,316,46,41,7,45,7,6,362,Radikale
31,fordeling,22,3,3,1,22,3,3,25,Radikale
32,politik,1106,189,133,41,27,5,3,1295,Radikale
33,adgang,99,22,3,3,33,7,1,121,Radikale
34,hæve,11,2,0,1,11,2,0,13,Radikale
35,unge,807,141,63,26,31,5,2,948,Radikale
36,gammel,61,12,4,5,12,2,1,73,Radikale
37,jobmarked,11,2,0,1,11,2,0,13,Radikale
38,hånd,623,97,46,11,57,9,4,720,Radikale
39,hoved,180,20,10,6,30,3,2,200,Radikale
40,omstilling,428,91,47,29,15,3,2,519,Radikale
41,nødt,211,34,23,5,42,7,5,245,Radikale
42,live,963,249,141,104,9,2,1,1212,Radikale
43,Idéseminar,8,3,3,1,8,3,3,11,Radikale
44,Politik,72,16,7,6,12,3,1,88,Radikale
45,stykke,30,9,5,3,10,3,2,39,Radikale
