,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,københavn,229,38,52,3,76,13,17,106,Socialistisk Folkeparti
2,fantastisk,71,16,17,2,36,8,8,52,Socialistisk Folkeparti
3,hovedstad,108,24,34,3,36,8,11,55,Socialistisk Folkeparti
4,problem,479,106,144,12,40,9,12,61,Socialistisk Folkeparti
5,mange,512,72,87,5,102,14,17,134,Socialistisk Folkeparti
6,råd,57,11,16,2,28,6,8,42,Socialistisk Folkeparti
7,allesammens,30,6,13,1,30,6,13,49,Socialistisk Folkeparti
8,regering,3909,938,795,62,63,15,13,91,Socialistisk Folkeparti
9,mulig,260,40,88,6,43,7,15,65,Socialistisk Folkeparti
10,almen,99,19,24,2,50,10,12,71,Socialistisk Folkeparti
11,tak,2184,337,310,26,84,13,12,109,Socialistisk Folkeparti
12,parti,1075,178,260,12,90,15,22,126,Socialistisk Folkeparti
13,brede,225,39,84,4,56,10,21,87,Socialistisk Folkeparti
14,landbrugsaftale,19,3,0,1,19,3,0,22,Socialistisk Folkeparti
15,ambitiøs,550,116,87,10,55,12,9,75,Socialistisk Folkeparti
16,binde,105,22,18,2,52,11,9,72,Socialistisk Folkeparti
17,mål,1291,163,204,12,108,14,17,138,Socialistisk Folkeparti
18,landbrug,106,21,25,5,21,4,5,30,Socialistisk Folkeparti
19,dkgreen,3405,678,717,64,53,11,11,75,Socialistisk Folkeparti
20,dansk,2931,590,858,46,64,13,19,95,Socialistisk Folkeparti
21,fagbevægelse,50,6,24,2,25,3,12,40,Socialistisk Folkeparti
22,stærk,319,59,88,6,53,10,15,78,Socialistisk Folkeparti
23,ansvar,427,50,185,4,107,12,46,166,Socialistisk Folkeparti
24,position,24,3,9,1,24,3,9,36,Socialistisk Folkeparti
25,fradrag,24,3,9,1,24,3,9,36,Socialistisk Folkeparti
26,fagforeningskontingent,24,3,9,1,24,3,9,36,Socialistisk Folkeparti
27,svar,144,28,44,3,48,9,15,72,Socialistisk Folkeparti
28,kritik,142,16,142,3,47,5,47,100,Socialistisk Folkeparti
29,arbejde,791,147,168,14,56,10,12,79,Socialistisk Folkeparti
30,særlig,280,41,97,4,70,10,24,104,Socialistisk Folkeparti
31,madspildsområdet,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
32,verden,665,130,135,13,51,10,10,72,Socialistisk Folkeparti
33,afkald,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
34,anja,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
35,philip,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
36,anledning,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
37,national,149,16,22,3,50,5,7,62,Socialistisk Folkeparti
38,madspildsdag,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
39,stopmadspild,4,1,4,1,4,1,4,9,Socialistisk Folkeparti
40,køreplanen,35,7,15,1,35,7,15,57,Socialistisk Folkeparti
41,nem,334,66,90,5,67,13,18,98,Socialistisk Folkeparti
42,klimamål,163,37,31,3,54,12,10,77,Socialistisk Folkeparti
43,når,10,1,1,1,10,1,1,12,Socialistisk Folkeparti
44,erhvervsredaktør,10,1,1,1,10,1,1,12,Socialistisk Folkeparti
45,coronakrisen,213,37,58,4,53,9,14,77,Socialistisk Folkeparti
46,hård,381,68,182,5,76,14,36,126,Socialistisk Folkeparti
47,erhvervsliv,124,23,33,4,31,6,8,45,Socialistisk Folkeparti
48,herzlichen,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
49,glückwünsch,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
50,stort,1116,83,127,9,124,9,14,147,Socialistisk Folkeparti
51,tillykke,1399,96,153,11,127,9,14,150,Socialistisk Folkeparti
52,flotte,366,53,46,4,92,13,12,116,Socialistisk Folkeparti
53,valg,1680,330,372,21,80,16,18,113,Socialistisk Folkeparti
54,tysk,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
55,søsterparti,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
56,spd,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
57,socialdemokratiet,1318,217,355,17,78,13,21,111,Socialistisk Folkeparti
58,danmark,11981,2175,2529,174,69,12,15,96,Socialistisk Folkeparti
59,sverige,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
60,norge,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
61,finland,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
62,tyskland,85,8,8,1,85,8,8,101,Socialistisk Folkeparti
63,høj,169,39,40,5,34,8,8,50,Socialistisk Folkeparti
64,grad,174,32,21,3,58,11,7,76,Socialistisk Folkeparti
65,samfund,1002,188,258,13,77,14,20,111,Socialistisk Folkeparti
