,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,mette,7183,1504,3159,117,61,13,27,101,Venstre
2,frederiksen,5637,1162,2461,93,61,12,26,100,Venstre
3,gammeldags,64,7,6,1,64,7,6,77,Venstre
4,regning,783,123,181,9,87,14,20,121,Venstre
5,uenig,167,14,13,3,56,5,4,65,Venstre
6,penge,1852,343,655,44,42,8,15,65,Venstre
7,dansk,6272,968,1236,120,52,8,10,71,Venstre
8,økonomi,1536,213,273,23,67,9,12,88,Venstre
9,råd,438,103,82,12,36,9,7,52,Venstre
10,velfærd,2354,512,737,54,44,9,14,67,Venstre
11,grøn,4419,763,862,110,40,7,8,55,Venstre
12,omstilling,2215,332,366,47,47,7,8,62,Venstre
13,jobskabelse,592,95,102,9,66,11,11,88,Venstre
14,ansvarlig,1543,234,276,29,53,8,10,71,Venstre
15,ftlive,934,140,131,29,32,5,5,42,Venstre
16,pengene,44,10,4,1,44,10,4,58,Venstre
17,tak,3316,452,319,66,50,7,5,62,Venstre
18,kæmpe,841,119,97,14,60,8,7,76,Venstre
19,borgerlig,457,59,96,8,57,7,12,76,Venstre
20,parti,3069,402,727,52,59,8,14,81,Venstre
21,bred,339,49,51,11,31,4,5,40,Venstre
22,ambitiøs,775,134,206,18,43,7,11,62,Venstre
23,klimaaftale,126,8,9,3,42,3,3,48,Venstre
24,danmark,16383,2585,3681,321,51,8,11,71,Venstre
25,landbrug,336,37,40,7,48,5,6,59,Venstre
26,fødevareerhverv,165,15,12,4,41,4,3,48,Venstre
27,stolt,520,87,94,14,37,6,7,50,Venstre
28,fødevare,56,5,8,2,28,2,4,34,Venstre
29,verden,1928,272,268,39,49,7,7,63,Venstre
30,mål,617,96,102,18,34,5,6,45,Venstre
31,regering,8065,1157,1844,135,60,9,14,82,Venstre
32,villig,56,7,8,1,56,7,8,71,Venstre
33,job,902,177,143,18,50,10,8,68,Venstre
34,udland,526,76,51,9,58,8,6,73,Venstre
35,danskerne,532,54,79,9,59,6,9,74,Venstre
36,s-regeringens,441,43,64,4,110,11,16,137,Venstre
37,udlændingepolitik,2053,506,1580,43,48,12,37,96,Venstre
38,plan,1328,220,233,24,55,9,10,74,Venstre
39,godkende,32,4,3,1,32,4,3,39,Venstre
40,afghansk,32,4,3,1,32,4,3,39,Venstre
41,barnebrud,32,4,3,1,32,4,3,39,Venstre
