,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,fremragende,151,18,7,2,76,9,4,169,Liberal Alliance
2,tale,279,35,31,11,25,3,3,314,Liberal Alliance
3,https://t.co/GNhGYggooJ,160,16,8,2,80,8,4,176,Liberal Alliance
4,ftlive,999,122,100,39,26,3,3,1121,Liberal Alliance
5,Mange,192,20,21,11,17,2,2,212,Liberal Alliance
6,tak,791,59,60,18,44,3,3,850,Liberal Alliance
7,fuld,126,20,20,5,25,4,4,146,Liberal Alliance
8,Mindre,186,20,20,4,46,5,5,206,Liberal Alliance
9,politik,913,124,90,28,33,4,3,1037,Liberal Alliance
10,formynderi,25,1,0,1,25,1,0,26,Liberal Alliance
11,bureaukrati,385,58,66,11,35,5,6,443,Liberal Alliance
12,meningsløs,238,8,6,3,79,3,2,246,Liberal Alliance
13,lovgivning,49,1,4,3,16,0,1,50,Liberal Alliance
14,Mere,236,48,54,9,26,5,6,284,Liberal Alliance
15,frihed,1526,225,214,41,37,5,5,1751,Liberal Alliance
16,ansvar,697,66,58,15,46,4,4,763,Liberal Alliance
17,Danmark,3849,658,795,109,35,6,7,4507,Liberal Alliance
18,fri,389,62,28,15,26,4,2,451,Liberal Alliance
19,https://t.co/bsmssUIJPs,25,1,0,1,25,1,0,26,Liberal Alliance
20,https://t.co/n7YtulKztI,25,1,0,1,25,1,0,26,Liberal Alliance
21,krone,870,132,207,19,46,7,11,1002,Liberal Alliance
22,måned,475,76,58,13,37,6,4,551,Liberal Alliance
23,skattefri,129,9,9,2,64,4,4,138,Liberal Alliance
24,topskat,753,67,79,4,188,17,20,820,Liberal Alliance
25,https://t.co/bsmssUr8qS.,113,5,9,1,113,5,9,118,Liberal Alliance
26,https://t.co/As15WCmgt1,113,5,9,1,113,5,9,118,Liberal Alliance
27,stolt,40,1,4,1,40,1,4,41,Liberal Alliance
28,liberal,1296,188,172,38,34,5,5,1484,Liberal Alliance
29,moderskib,40,1,4,1,40,1,4,41,Liberal Alliance
30,Peter,87,9,8,2,44,4,4,96,Liberal Alliance
31,pressechef,60,5,8,2,30,2,4,65,Liberal Alliance
32,oktober,142,5,17,2,71,2,8,147,Liberal Alliance
33,Flere,212,42,57,9,24,5,6,254,Liberal Alliance
34,hånd,134,26,25,7,19,4,4,160,Liberal Alliance
35,opsving,17,3,4,1,17,3,4,20,Liberal Alliance
36,ansættelsesstop,17,3,4,1,17,3,4,20,Liberal Alliance
37,offentlig,1409,168,180,33,43,5,5,1577,Liberal Alliance
38,udspil,428,69,57,14,31,5,4,497,Liberal Alliance
39,forbindelse,109,26,35,6,18,4,6,135,Liberal Alliance
40,sommergruppemøde,69,19,5,4,17,5,1,88,Liberal Alliance
41,https://t.co/SNg7nJCBX7,17,3,4,1,17,3,4,20,Liberal Alliance
42,fas,21,1,0,1,21,1,0,22,Liberal Alliance
43,oplægge,21,1,0,1,21,1,0,22,Liberal Alliance
44,corona,77,5,2,2,38,2,1,82,Liberal Alliance
45,almindelig,112,13,16,6,19,2,3,125,Liberal Alliance
46,restriktion,514,28,61,4,128,7,15,542,Liberal Alliance
47,hverdag,108,12,13,5,22,2,3,120,Liberal Alliance
48,brug,568,65,62,18,32,4,3,633,Liberal Alliance
49,Messi,64,0,1,1,64,0,1,64,Liberal Alliance
50,https://t.co/nXA6LdQxvU,64,0,1,1,64,0,1,64,Liberal Alliance
