,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Verdens,43,7,3,1,43,7,3,50,Konservative Folkeparti
2,formand,172,17,8,4,43,4,2,189,Konservative Folkeparti
3,https://t.co/PVSjh5yMso,43,7,3,1,43,7,3,50,Konservative Folkeparti
4,.@SorenPape,377,66,40,16,24,4,2,443,Konservative Folkeparti
5,åbningsdebat,113,15,10,8,14,2,1,128,Konservative Folkeparti
6,ftlive,236,46,35,25,9,2,1,282,Konservative Folkeparti
7,https://t.co/XwA4Jlfpn5,18,2,0,1,18,2,0,20,Konservative Folkeparti
8,https://t.co/E38BsV2lAy,17,3,1,1,17,3,1,20,Konservative Folkeparti
9,https://t.co/eHdwjeTSEA,11,2,1,1,11,2,1,13,Konservative Folkeparti
10,https://t.co/UmXJTgbtnp,16,2,1,1,16,2,1,18,Konservative Folkeparti
11,https://t.co/3G9D8Vhru2,18,1,4,1,18,1,4,19,Konservative Folkeparti
12,mangle,15,2,1,1,15,2,1,17,Konservative Folkeparti
13,virksomhed,567,66,95,33,17,2,3,633,Konservative Folkeparti
14,skatte,586,94,74,25,23,4,3,680,Konservative Folkeparti
15,arbejde,558,89,97,26,21,3,4,647,Konservative Folkeparti
16,let,22,5,1,1,22,5,1,27,Konservative Folkeparti
17,kvalificere,67,10,5,2,34,5,2,77,Konservative Folkeparti
18,milliard,210,44,52,17,12,3,3,254,Konservative Folkeparti
19,krone,460,74,91,21,22,4,4,534,Konservative Folkeparti
20,mangel,45,5,4,1,45,5,4,50,Konservative Folkeparti
21,adgang,86,18,10,4,22,4,2,104,Konservative Folkeparti
22,ældre,186,27,16,4,46,7,4,213,Konservative Folkeparti
23,ældreudspil,45,7,5,1,45,7,5,52,Konservative Folkeparti
24,alderdom,55,8,5,2,28,4,2,63,Konservative Folkeparti
25,omsorg,120,23,22,5,24,5,4,143,Konservative Folkeparti
26,værdighed,45,7,5,1,45,7,5,52,Konservative Folkeparti
27,selvbestemmelse,45,7,5,1,45,7,5,52,Konservative Folkeparti
28,konkret,137,21,26,6,23,4,4,158,Konservative Folkeparti
29,forslag,496,77,75,23,22,3,3,573,Konservative Folkeparti
30,https://t.co/jFKMbKAR4v,45,7,5,1,45,7,5,52,Konservative Folkeparti
31,rette,48,11,7,3,16,4,2,59,Konservative Folkeparti
32,Andrea,5,1,3,1,5,1,3,6,Konservative Folkeparti
33,fodfejl,5,1,3,1,5,1,3,6,Konservative Folkeparti
34,tekst,5,1,3,1,5,1,3,6,Konservative Folkeparti
35,holdning,113,24,24,3,38,8,8,137,Konservative Folkeparti
36,øremærke,5,1,3,1,5,1,3,6,Konservative Folkeparti
37,barsel,106,14,13,5,21,3,3,120,Konservative Folkeparti
38,landsråd,470,75,45,21,22,4,2,545,Konservative Folkeparti
39,https://t.co/9NuERW3cUi,19,4,1,1,19,4,1,23,Konservative Folkeparti
40,https://t.co/tHtQWq5Azs,33,7,4,1,33,7,4,40,Konservative Folkeparti
41,https://t.co/NAZT12DR6s,9,2,1,1,9,2,1,11,Konservative Folkeparti
42,https://t.co/vpX0av7GaB,13,5,2,1,13,5,2,18,Konservative Folkeparti
43,https://t.co/qpOp33Gaeb,18,3,5,1,18,3,5,21,Konservative Folkeparti
44,https://t.co/cfWwDozJ7b,32,4,3,1,32,4,3,36,Konservative Folkeparti
45,Facebook,63,7,4,2,32,4,2,70,Konservative Folkeparti
46,landsrådstale,86,12,3,2,43,6,2,98,Konservative Folkeparti
47,live,94,22,9,5,19,4,2,116,Konservative Folkeparti
48,https://t.co/6phBqiRNRh,56,6,3,1,56,6,3,62,Konservative Folkeparti
49,Huskeseddel,39,2,13,1,39,2,13,41,Konservative Folkeparti
50,regering,1087,119,131,23,47,5,6,1206,Konservative Folkeparti
51,bud,42,2,13,2,21,1,6,44,Konservative Folkeparti
52,dag,2177,236,204,71,31,3,3,2413,Konservative Folkeparti
53,dkøko,197,25,39,9,22,3,4,222,Konservative Folkeparti
54,Manglen,45,4,3,1,45,4,3,49,Konservative Folkeparti
55,finanslovsudspil,63,7,8,2,32,4,4,70,Konservative Folkeparti
56,finanslov,72,11,6,7,10,2,1,83,Konservative Folkeparti
57,skive,45,4,3,1,45,4,3,49,Konservative Folkeparti
58,Løsningen,161,18,27,3,54,6,9,179,Konservative Folkeparti
59,reform,187,14,25,3,62,5,8,201,Konservative Folkeparti
60,https://t.co/8C0ovPQlAe,45,4,3,1,45,4,3,49,Konservative Folkeparti
61,Danmark,3676,438,516,106,35,4,5,4114,Konservative Folkeparti
62,dansk,1000,129,151,35,29,4,4,1129,Konservative Folkeparti
63,politi,105,18,15,6,18,3,2,123,Konservative Folkeparti
64,https://t.co/Riv8wcUAbc,49,3,6,1,49,3,6,52,Konservative Folkeparti
65,Tid,31,3,4,1,31,3,4,34,Konservative Folkeparti
66,brug,613,73,76,19,32,4,4,686,Konservative Folkeparti
67,Borgerlige,90,8,12,2,45,4,6,98,Konservative Folkeparti
68,parti,1170,145,129,23,51,6,6,1315,Konservative Folkeparti
69,særlig,160,12,29,2,80,6,14,172,Konservative Folkeparti
70,ansvar,418,41,37,11,38,4,3,459,Konservative Folkeparti
71,økonomi,745,52,59,11,68,5,5,797,Konservative Folkeparti
72,80’erne,71,5,11,1,71,5,11,76,Konservative Folkeparti
73,00’erne,71,5,11,1,71,5,11,76,Konservative Folkeparti
74,velfærdssamfund,71,5,11,1,71,5,11,76,Konservative Folkeparti
75,behov,327,29,64,5,65,6,13,356,Konservative Folkeparti
