,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic
1,vej,3430,452,,87,39,5,,3882
2,miljøministerium,47,13,,1,47,13,,60
3,biodiversitetsmål,47,13,,1,47,13,,60
4,Danmark,12567,1730,,237,53,7,,14297
5,beskytte,680,63,,5,136,13,,743
6,natur,779,133,,33,24,4,,912
7,land,3218,444,,93,35,5,,3662
8,hav,713,68,,9,79,8,,781
9,dkgreen,5484,940,,154,36,6,,6424
10,https://t.co/auA5QnEVkV,47,13,,1,47,13,,60
11,nettofordel,1,0,,2,0,0,,1
12,klima,2973,307,,54,55,6,,3280
13,boring,28,16,,3,9,5,,44
14,Nordsøen,26,9,,5,5,2,,35
15,reserve,149,32,,3,50,11,,181
16,jord,299,21,,13,23,2,,320
17,signal,181,42,,7,26,6,,223
18,plan,673,145,,32,21,5,,818
19,klimaafgifter,1,0,,2,0,0,,1
20,Klimaet,831,99,,7,119,14,,930
21,tid,4663,484,,116,40,4,,5147
22,Løkke,935,190,,41,23,5,,1125
23,KL-topmøde,17,15,,2,8,8,,32
24,milliard,1048,222,,28,37,8,,1270
25,kommune,1874,313,,60,31,5,,2187
26,dkpol,78083,11466,,1788,44,6,,89549
27,KLtop16,17,15,,2,8,8,,32
28,https://t.co/zm916cxQeH,14,13,,1,14,13,,27
29,alternativ,30,9,,4,8,2,,39
30,Alternativet,847,151,,32,26,5,,998
31,LMÅ17,50,10,,2,25,5,,60
32,indsats,1919,243,,35,55,7,,2162
33,unge,2255,349,,84,27,4,,2604
34,legalisering,33,6,,5,7,1,,39
35,allevegne,1,0,,1,1,0,,1
36,Tyskland,235,59,,10,24,6,,294
37,regering,8848,1227,,229,39,5,,10075
38,lov,2498,369,,69,36,5,,2867
39,forsøg,345,77,,14,25,6,,422
40,Borgerløn,143,42,,5,29,8,,185
41,ide,439,60,,23,19,3,,499
42,DK?@alternativet,37,13,,1,37,13,,50
43,puls,6,5,,1,6,5,,11
44,terminal,6,5,,1,6,5,,11
45,patient,505,100,,17,30,6,,605
46,resurseforløb,47,23,,7,7,3,,70
47,bilbranche,5,2,,1,5,2,,7
48,Ekkodalen,5,2,,1,5,2,,7
49,Kondolerer,3,0,,1,3,0,,3
50,ord,2602,263,,50,52,5,,2865
51,rollemodel,3,0,,1,3,0,,3
52,borgerlig,2528,188,,34,74,6,,2716
53,fattigdomsgrænse,301,42,,8,38,5,,343
54,liv,1721,199,,47,37,4,,1920
55,Darth,1,0,,1,1,0,,1
56,reduktionsmål,678,59,,3,226,20,,737
57,hele,2803,286,,91,31,3,,3089
58,klimaDanmark,3,0,,1,3,0,,3
59,fagforening,26,5,,5,5,1,,31
60,skræmme,893,74,,8,112,9,,967
61,retræte,3,0,,1,3,0,,3
62,nøgen,5,1,,1,5,1,,6
63,I-Phone,5,1,,1,5,1,,6
64,vigtig,4018,533,,114,35,5,,4551
65,hovedfokus,46,12,,1,46,12,,58
66,Mogens,669,51,,9,74,6,,720
67,mink,1165,98,,13,90,8,,1263
68,dkool,46,12,,1,46,12,,58
69,DAGE,2,2,,2,1,1,,4
70,DEMO,2,2,,2,1,1,,4
71,studere,810,60,,18,45,3,,870
72,udd,5,5,,2,2,2,,10
73,time,940,89,,27,35,3,,1029
74,feedback,15,3,,2,8,2,,18
75,vejledning,239,35,,8,30,4,,274
76,https://t.co/D70bD4BbDi,2,2,,1,2,2,,4
77,uddpol,810,121,,26,31,5,,931
78,tvangsanbringelse,67,14,,3,22,5,,81
79,intensiv,10,3,,1,10,3,,13
80,terapeutisk,10,3,,1,10,3,,13
81,familiebehandling,10,3,,1,10,3,,13
82,dyr,483,108,,18,27,6,,591
